DisNo.,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Location,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Affected,"Total Damage, Adjusted ('000 US$)",Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium"
2000-0033-CHN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,"Yongren Xian, Yao'an Xian, Nanhua Xian, Dayao Xian areas (Chuxiong Yi district, Yunnan Sheng province), Xiangyun Xian area (Dali Bai district, Yunnan Sheng province) ",Yes,No,No,765.0,5.9,Moment Magnitude,25.607,101.063,,2000.0,1.0,14.0,2000.0,1.0,14.0,1855007.0,130056.0,,
2000-0036-CHN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,"Mile Xian area (Honghe Hani and Yi district, Yunnan Sheng province), Qiubei Xian area (Wenshan Zhuang and Miao district, Yunnan Sheng province)",No,No,No,,4.9,Moment Magnitude,24.263,103.797,,2000.0,1.0,26.0,2000.0,1.0,26.0,10302.0,855.0,,
2000-0076-ISL,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,ISL,Iceland,Northern Europe,Europe,"Grimsnes, Selfoss, Eyrarbakki, Stokkseyri city (Arnes provinces)",No,No,No,,6.5,Moment Magnitude,63.98,-20.758,,2000.0,6.0,21.0,2000.0,6.0,21.0,108.0,21234.0,,
2000-0089-PHL,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,PHL,Philippines,South-eastern Asia,Asia,"Legazpi City area (Albay district, Region V (Bicol region) province)",Yes,No,No,647.0,,,13.257,123.685,,2000.0,2.0,24.0,2000.0,3.0,9.0,68426.0,3918.0,,
2000-0230-IDN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,"Totikum, Tinangkung, Liang villages (Banggai Kepulauan district, Sulawesi Tengah province), Banggai district (Sulawesi Tengah province)",No,No,No,215.0,7.6,Moment Magnitude,-1.105,123.573,,2000.0,5.0,4.0,2000.0,5.0,4.0,52770.0,53084.0,,
2000-0293-IDN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,"Enggano island (Bengkulu Utara district, Bengkulu province)",Yes,No,No,5031.0,6.7,Moment Magnitude,-4.646,102.102,,2000.0,6.0,4.0,2000.0,6.0,4.0,204714.0,72548.0,,
2000-0335-ISL,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,ISL,Iceland,Northern Europe,Europe,Hella city (Rangarvalla province),No,No,No,,6.5,Moment Magnitude,63.966,-20.487,,2000.0,6.0,17.0,2000.0,6.0,17.0,91.0,21234.0,,
2000-0449-IDN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,"Ciranggon village (Karawang district, Jawa Barat province)",No,No,No,,5.4,Moment Magnitude,-6.675,106.845,,2000.0,7.0,12.0,2000.0,7.0,12.0,4124.0,3539.0,,
2000-0480-RUS,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,RUS,Russian Federation,Eastern Europe,Europe,Ougklegorsk region (Sakhalinskaya Oblast Province),No,No,No,,6.8,Moment Magnitude,48.786,142.246,,2000.0,8.0,4.0,2000.0,8.0,4.0,19108.0,1628.0,,
2000-0527-CHN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,"Wuding Xian area (Chuxiong Yi district, Yunnan Sheng province)",No,No,No,,4.9,Moment Magnitude,25.826,102.194,,2000.0,8.0,21.0,2000.0,8.0,21.0,177611.0,76087.0,,
2000-0598-USA,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USA,United States of America,Northern America,Americas,"Near Yountville city (Napa district, California province)",No,No,No,,4.9,Moment Magnitude,38.3788333,-122.4133333,,2000.0,9.0,3.0,2000.0,9.0,3.0,25174.0,88473.0,,
2000-0656-JPN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,JPN,Japan,Eastern Asia,Asia,"Aimityoo, Kisimototyoo, Mizokutityoo, Saihakutyoo, Daisentyoo, Nawatyoo, Nakayamatyoo, Hieduson districts (Tottori province), Simane, Okayama provinces",No,No,No,,6.7,Moment Magnitude,35.456,133.134,,2000.0,10.0,6.0,2000.0,10.0,6.0,7132.0,884732.0,,
2000-0769-AZE,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,AZE,Azerbaijan,Western Asia,Asia,"Absheron, Baku, Sumgayit districts (Absheron province)",No,No,No,341.0,6.8,Moment Magnitude,40.245,49.946,,2000.0,11.0,25.0,2000.0,11.0,25.0,3294.0,17695.0,,
2001-0013-SLV,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,SLV,El Salvador,Latin America and the Caribbean,Americas,"Berlin, Alegria, Tecapan, Santiago de Maria districts (Usulutan province), Santa Tecla, Comasagua districts (La Libertad province) ; San Miguel, Santa Ana, Sonsonate, Cuscatlan, San Vicente, La Union, Ahuachapan, Cabanas, Morazan, Chalatenango, La Paz, La Libertad, San Salvador, Usulutan provinces",Yes,Yes,No,,7.7,Moment Magnitude,13.049,-88.66,,2001.0,1.0,13.0,2001.0,1.0,13.0,1334529.0,2581246.0,,
2001-0023-GTM,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,GTM,Guatemala,Latin America and the Caribbean,Americas,Jutapia province,No,No,No,,7.7,Moment Magnitude,13.049,-88.66,,2001.0,1.0,13.0,2001.0,1.0,13.0,152.0,86.0,,
2001-0033-IND,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,IND,India,Southern Asia,Asia,"Ahmadabad, Amreli, Anand, Banas Kantha, Bharuch, Bhavnagar, Dahdod, Gandhinagar, Jamnagar, Junagadh, Kachchh, Kheda, Mahesana, Navsari, Patan, Porbandar, Rajkot, Sabar Kantha, Surat, Surendranagar, Vadodara districts (Gurajat province)",Yes,No,No,118929.0,7.7,Moment Magnitude,23.419,70.232,,2001.0,1.0,26.0,2001.0,1.0,26.0,6321812.0,4513739.0,,
2001-0033-PAK,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,PAK,Pakistan,Southern Asia,Asia,"Badin District, Tharparkar District, Mirpur Khas District districts (Sindh province)",Yes,No,No,215.0,7.7,Moment Magnitude,23.419,70.232,,2001.0,1.0,26.0,2001.0,1.0,26.0,914292.0,860.0,,
2001-0042-SLV,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,SLV,El Salvador,Latin America and the Caribbean,Americas,"La Paz, Cuscatlan, San Vicente, San Salvador, Morazan, La Libertad provinces ; San Juan Tepezontes district (La Paz province), Cojutepeque district (Cuscatlan province)",Yes,No,No,,6.6,Moment Magnitude,13.671,-88.938,,2001.0,2.0,13.0,2001.0,2.0,13.0,256021.0,599709.0,,
2001-0064-CHN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,"Yajiang Xian, Kangding Xian areas (Garze Tibetan district, Sichuan Sheng province)",Yes,No,No,,5.6,Moment Magnitude,29.513,101.129,,2001.0,2.0,23.0,2001.0,2.0,23.0,300109.0,41300.0,,
2001-0099-USA,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USA,United States of America,Northern America,Americas,"Seattle city (King district), Tacoma city (Pierce district), Olympia city (Thurston district) (Washington province)",No,No,No,,6.8,Moment Magnitude,47.149,-122.7266667,,2001.0,2.0,28.0,2001.0,2.0,28.0,400.0,3441661.0,,
2001-0123-JPN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,JPN,Japan,Eastern Asia,Asia,"Hirosima, Ehime provinces",No,No,No,,6.8,Moment Magnitude,34.083,132.526,,2001.0,3.0,24.0,2001.0,3.0,24.0,11261.0,860415.0,,
2001-0151-CHN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,"Shidian area (Baoshan district, Yunnan Sheng province)",No,No,No,,5.6,Moment Magnitude,24.768,99.061,,2001.0,4.0,12.0,2001.0,4.0,12.0,150190.0,53346.0,,
2001-0214-CHN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,"Ninglang Yi Zizhixian area (Lijiang district, Yunnan Sheng province), Yanyuan Xian area (Liangshan Yi district, Sichuan Sheng province)",No,No,No,,5.5,Moment Magnitude,27.689,101.003,,2001.0,5.0,23.0,2001.0,5.0,23.0,10605.0,61950.0,,
2001-0294-PER,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,PER,Peru,Latin America and the Caribbean,Americas,"Arequipa, Moquegua, Tacna, Ayacucho provinces",Yes,No,No,20777.0,8.4,Moment Magnitude,-16.265,-73.641,,2001.0,6.0,23.0,2001.0,6.0,23.0,349978.0,516249.0,,
2001-0297-PHL,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,PHL,Philippines,South-eastern Asia,Asia,"Daraga, Bacacay, Sto Domingo, Daraga, Camalig, Ligao, Legazpi City, Tabaco, Malilipot, Guinobatan areas (Albay district, Region V (Bicol region) province)",No,Yes,No,247.0,,,13.257,123.685,,2001.0,5.0,24.0,2001.0,5.0,24.0,25576.0,1363.0,,
2001-0456-ECU,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,ECU,Ecuador,Latin America and the Caribbean,Americas,"Quero, Cevallos, Mocha, San Pedro de Pelileo, Tisaleo districts (Tungurahua province), Penipe, Guano districts (Chimborazo province)",Yes,No,No,420.0,,,-1.467,-78.442,,2001.0,8.0,14.0,2001.0,8.0,14.0,22770.0,18886.0,,
2002-0033-COD,nat-geo-vol-ash,Natural,Geophysical,Volcanic activity,Ash fall,COD,Democratic Republic of the Congo,Sub-Saharan Africa,Africa,Goma district (Nord-Kivu province),Yes,Yes,No,43504.0,,,-1.52,29.25,,2002.0,1.0,17.0,2002.0,1.0,21.0,110400.0,15246.0,,
2002-0065-TUR,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,Asia,Bolvadin district (Afyon province),No,No,No,1982.0,6.5,Moment Magnitude,38.573,31.271,,2002.0,2.0,3.0,2002.0,2.0,3.0,252327.0,160927.0,,
2002-0129-PHL,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,PHL,Philippines,South-eastern Asia,Asia,"General Santos city (South Cotabato district, Region XII (Soccsksargen) province), Kiamba area (Saranggani district, Region XII (Soccsksargen) province)",No,No,No,,7.5,Moment Magnitude,6.033,124.249,,2002.0,3.0,5.0,2002.0,3.0,5.0,73451.0,2903.0,,
2002-0172-TWN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,TWN,Taiwan (Province of China),Eastern Asia,Asia,"Hualien area (Name Unknown district, Taiwan Sheng province)",No,No,No,,7.1,Moment Magnitude,24.279,122.179,,2002.0,3.0,31.0,2002.0,3.0,31.0,500.0,42349.0,,
2002-0247-GEO,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,GEO,Georgia,Western Asia,Asia,Tbilissi district (Tbilisi province),Yes,Yes,No,3376.0,4.8,Moment Magnitude,41.765,44.96,,2002.0,4.0,25.0,2002.0,4.0,25.0,19156.0,592887.0,,
2002-0378-IRN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Ab Garm, Buin Zahra, Avaj villages (Bueinzahra district, Ghazvin province), Shirin Su area (Kabudarahang district, Hamedan province), Razan district (Hamedan province), Abhar, Khodabandeh districts (Zanjan province)",Yes,Yes,No,4244.0,6.5,Moment Magnitude,35.626,49.047,,2002.0,6.0,22.0,2002.0,6.0,22.0,111300.0,508189.0,,
2002-0690-ITA,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,ITA,Italy,Southern Europe,Europe,"San Guliano di Puglia town (Campobasso province, Molise region)",No,No,No,,5.9,Moment Magnitude,41.789,14.872,,2002.0,10.0,31.0,2002.0,10.0,31.0,8533.0,1348395.0,,
2003-0039-MEX,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,MEX,Mexico,Latin America and the Caribbean,Americas,"Colima, Armeria, Coquimatlan, Ixtlahuacan, Cuahutemoc, Villa de Alvarez, Manzanillo, Minatitlan, Tecoman districts (Colima province), Zapotitlan de Vadillo, Toliman, Tonila, Pihuamo districts (Jalisco province)",Yes,No,Yes,229.0,7.6,Moment Magnitude,18.77,-104.104,,2003.0,1.0,22.0,2003.0,1.0,22.0,178603.0,192635.0,,
2003-0105-CHN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,"Payzawat village (Jiashi Xian area, Kashgar district, Xinjiang Uygur Zizhiqu province), Bachu Xian, Yuepuhu Xian, Yingjisha Xian, Maigaiti Xian, Shule Xian, Shufu Xian, Kashi Shi areas (Kashgar district, Xinjiang Uygur Zizhiqu province)",Yes,No,No,978.0,6.3,Moment Magnitude,39.61,77.23,,2003.0,2.0,24.0,2003.0,2.0,24.0,517000.0,260049.0,,
2003-0184-ITA,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,ITA,Italy,Southern Europe,Europe,Alessandria Province (Piemonte Region),No,No,No,,5.0,Moment Magnitude,44.792,8.892,,2003.0,4.0,11.0,2003.0,4.0,11.0,232.0,929803.0,,
2003-0197-TUR,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,Asia,"Bingol, Celtiksuyu, Sancak, Gokdere, Gozeler villages (Merkez district, Bingol province)",No,No,No,424.0,6.4,Moment Magnitude,39.007,40.464,,2003.0,5.0,1.0,2003.0,5.0,1.0,290520.0,223609.0,,
2003-0245-DZA,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,DZA,Algeria,Northern Africa,Africa,"Thenia, Zemmouri, Boumerdes, Dellys, Khemis El Khechna, Bordj Menaiel, Isser districts (Boumerdes province), Reghaia, Rouiba, Bab El Oued, Alger, Casbah, Hamma Anassers districts (Alger province)",Yes,Yes,No,10700.0,6.8,Moment Magnitude,36.964,3.634,,2003.0,5.0,21.0,2003.0,5.0,21.0,210261.0,8281813.0,,
2003-0249-JPN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,JPN,Japan,Eastern Asia,Asia,"Iwate, Miyagi, Yamagata, Akita, Aomori provinces",No,No,No,,7.0,Moment Magnitude,38.849,141.568,,2003.0,5.0,26.0,2003.0,5.0,26.0,2303.0,385933.0,,
2003-0348-CHN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,"Dayao Xian area (Chuxiong Yi district, Yunnan Sheng province)",No,No,No,,6.0,Moment Magnitude,25.975,101.29,,2003.0,7.0,21.0,2003.0,7.0,21.0,1295584.0,124227.0,,
2003-0354-JPN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,JPN,Japan,Eastern Asia,Asia,"Sendaisi_Aobaku, Sendaisi_Daisiroku, Sendaisi_Izumiku, Sendaisi_Miyaginoku, Sendaisi_Wakabayasiku, Isinomakisi, Hurukawasi, Kasimadaimati, Nangootyoon, Narusetyoo, Yamototyoo, Yoneyamatyoo districts (Miyagi province)",No,No,No,,5.5,Moment Magnitude,38.432,141.003,,2003.0,7.0,25.0,2003.0,7.0,25.0,18191.0,680765.0,,
2003-0402-CHN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,"Lindong village (Balin-Zuo Qi area, Chifeng district, Nei Mongol Zizhiqu province), Tianshanzhen village (Aluke'erqin Qi area, Chifeng district, Nei Mongol Zizhiqu province)",No,No,No,,5.4,Moment Magnitude,43.77,119.643,,2003.0,8.0,16.0,2003.0,8.0,16.0,455500.0,276613.0,,
2003-0438-IRN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Shahr e Pir, Deberan, Deh No, Darreh Shur, Darya, Zarrin-Dasht, Hajjiabad villages (Darab district, Fars province), Jahrom district (Fars province)",No,No,No,,5.8,Moment Magnitude,28.355,54.169,,2003.0,7.0,10.0,2003.0,7.0,10.0,17525.0,35887.0,,
2003-0476-JPN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,JPN,Japan,Eastern Asia,Asia,Hokkaidoo province,No,No,No,,7.4,Moment Magnitude,41.774,143.593,,2003.0,9.0,25.0,2003.0,9.0,25.0,773.0,932532.0,,
2003-0497-RUS,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,RUS,Russian Federation,Eastern Europe,Europe,"Kosh-Agachsky, Ust'-Ulagan, Ongudai, Shebalino towns (Altay Republic Province)",No,No,No,,7.3,Moment Magnitude,50.038,87.813,,2003.0,9.0,27.0,2003.0,9.0,27.0,1805.0,17557.0,,
2003-0509-CHN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,"Dayao Xian area (Chuxiong Yi district, Yunnan Sheng province)",No,No,No,,5.6,Moment Magnitude,25.954,101.254,,2003.0,10.0,16.0,2003.0,10.0,16.0,60056.0,99382.0,,
2003-0519-CHN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,"Minle Xian, Shandan Xian, Sunan Yugu Zizhixian areas (Zhangye district, Gansu Sheng province) ",No,No,No,,5.8,Moment Magnitude,38.383,100.975,,2003.0,10.0,25.0,2003.0,10.0,25.0,275043.0,66255.0,,
2003-0582-CHN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,"Zhaosu Xian area (Ili Kazakh district, Xinjiang Uygur Zizhiqu province)",No,No,No,,6.0,Moment Magnitude,42.905,80.515,,2003.0,12.0,1.0,2003.0,12.0,1.0,6018.0,3202.0,,
2003-0623-USA,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,USA,United States of America,Northern America,Americas,"Paso Robles, Templeton, Atascadero, Cambria, Morro Bay, Oceano villages (San Luis Obispo district, California province)",No,No,Yes,,6.5,Moment Magnitude,35.7005,-121.1005,,2003.0,12.0,22.0,2003.0,12.0,22.0,160.0,331273.0,,
2003-0630-IRN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,Asia,Bam district (Kerman province),Yes,Yes,No,130852.0,6.6,Moment Magnitude,28.995,58.311,,2003.0,12.0,26.0,2003.0,12.0,26.0,267628.0,828181.0,,
2004-0001-IDN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,"Kota Mataram, Lombok Barat districts (Nusatenggara Barat), Klungkung, Karangasem districts (Bali province)",No,No,No,,5.8,Moment Magnitude,-8.31,115.788,,2004.0,1.0,1.0,2004.0,1.0,1.0,30040.0,19358.0,,
2004-0040-IDN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,Nabire district (Papua province),Yes,No,No,211.0,7.0,Moment Magnitude,-3.615,135.538,,2004.0,2.0,5.0,2004.0,2.0,5.0,14072.0,1613.0,,
2004-0073-MAR,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,MAR,Morocco,Northern Africa,Africa,"Tamassint village (Imrabten area, Bni Ouriagh sub-district, Al Hoceima district, Taza - Al Hoceima - Taounate province), Ajdir village (Ait Youssef Ouali area, Bni Ouriagh sub-district, Al Hoceima district, Taza - Al Hoceima - Taounate province), Ait Kamra, Bni Abdallah areas (Bni Ouriagh sub-district, Al Hoceima district, Taza - Al Hoceima - Taounate province), Imzouren sub-district (Al Hoceima district, Taza - Al Hoceima - Taounate province)",Yes,No,No,13218.0,6.4,Moment Magnitude,35.142,-3.997,,2004.0,2.0,24.0,2004.0,2.0,24.0,13465.0,645270.0,,
2004-0126-CHN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,"Xiwuzhumuqin Qi area (Xilin Gol district, Nei Mongol Zizhiqu province)",No,No,No,,5.5,Moment Magnitude,45.382,118.256,,2004.0,3.0,24.0,2004.0,3.0,24.0,190100.0,119375.0,,
2004-0234-IRN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Nour, Baladeh cities (Nur district, Mazandaran province), Alamout area (Qasr-e shirin district, Ghazvin province), Taleghan area (Savojbolagh district, Tehran province), Chalus, Noshahr districts (Mazandaran province)",No,No,No,,6.3,Moment Magnitude,36.29,51.61,,2004.0,5.0,28.0,2004.0,5.0,28.0,498.0,266174.0,,
2004-0406-CHN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,"Ludian Xian area (Zhaotong district, Yunnan Sheng province)",No,No,No,,5.4,Moment Magnitude,27.266,103.873,,2004.0,8.0,10.0,2004.0,8.0,10.0,120600.0,80659.0,,
2004-0532-JPN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,JPN,Japan,Eastern Asia,Asia,"Odiyasi, Nagaokasi, Tookamatisi districts (Niigata province) ",Yes,No,No,49.0,6.6,Moment Magnitude,37.226,138.779,,2004.0,10.0,23.0,2004.0,10.0,23.0,62183.0,45168877.0,,
2004-0607-IDN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,Asia,Nabire district (Papua province),No,Yes,No,670.0,7.1,Moment Magnitude,-3.609,135.404,,2004.0,11.0,26.0,2004.0,11.0,26.0,12833.0,88725.0,,
2004-0659-IDN,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,IDN,Indonesia,South-eastern Asia,Asia,"Nangroe Aceh Darussalam, Sumatera Utara provinces",No,No,No,,9.1,Moment Magnitude,3.295,95.982,,2004.0,12.0,26.0,2004.0,12.0,26.0,532898.0,7181206.0,,
2004-0659-IND,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,IND,India,Southern Asia,Asia,"Kancheepuram, Villupuram, Nagapattinam, Thoothukudi, Tirunelveli Kattabo, Kanniyakumari, Chennai, Thiruvallur, Cuddalore, Pudukkottai, Ramanathapuram, Sivaganga, Thanjavur districts (Tamil Nadu province), Vishakhapatnam, East Godavari, West Godavari, Krishna, Guntur, Prakasam, Nellore districts (Andhra Pradesh province), Kollam, Alappuzha, Ernakulam districts (Kerala province), Puducherry, Karaikal district (Puducherry province), Andaman and Nicobar province",Yes,No,No,,9.1,Moment Magnitude,3.295,95.982,,2004.0,12.0,26.0,2004.0,12.0,26.0,654512.0,1649955.0,,
2004-0659-LKA,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,LKA,Sri Lanka,Southern Asia,Asia,"Jaffna, Kilinochchi, Mullativu, Trincomalee, Batticaloa, Ampara, Hambantota, Matara, Galle, Kalutara, Colombo, Gampaha, Puttalam, Vavuniya districts",Yes,No,No,,9.1,Moment Magnitude,3.295,95.982,,2004.0,12.0,26.0,2004.0,12.0,26.0,1019306.0,2123744.0,,
2004-0659-MDV,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,MDV,Maldives,Southern Asia,Asia,"Alifu Alifu, Alifu Dhaalu, Baa, Faafu, Gaafu Alifu, Gaafu Dhaalu, Haa Alifu, Haa Dhaalu, Kaafu, Laamu, Lhaviyani, Male', Meemu, Noonu, Raa, Seenu, Shaviyani, Thaa, Vaavu provinces",Yes,No,Yes,,9.1,Moment Magnitude,3.295,95.982,,2004.0,12.0,26.0,2004.0,12.0,26.0,27214.0,758353.0,,
2004-0659-MMR,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,MMR,Myanmar,South-eastern Asia,Asia,"Kawthoung, Pyapon, Pathein districts (Ayeyawaddy province), Kawthoung district (Taninthayi province), Sittwe district (Rakhine province)",No,No,No,,9.1,Moment Magnitude,3.295,95.982,,2004.0,12.0,26.0,2004.0,12.0,26.0,15700.0,806587.0,,
2004-0659-MYS,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,MYS,Malaysia,South-eastern Asia,Asia,"Barat Daya, Timur Laut district (Pulau Pinang province)",Yes,No,No,,9.1,Moment Magnitude,3.295,95.982,,2004.0,12.0,26.0,2004.0,12.0,26.0,5063.0,806587.0,,
2004-0659-SOM,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,SOM,Somalia,Sub-Saharan Africa,Africa,"Hafun village (Iskushuban district, Bari province), Garacad village (Jariiban district, Mudug province), Eyl district (Nugaal province), Marka, Baraawe districts (Shabelle Hoose province)",Yes,No,No,,9.1,Moment Magnitude,3.295,95.982,,2004.0,12.0,26.0,2004.0,12.0,26.0,105083.0,161317.0,,
2004-0659-SYC,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,SYC,Seychelles,Sub-Saharan Africa,Africa,"Anse Aux Pins, Anse Boileau, Anse Etoile, Anse Royale, Au Cap, Baie Lazare, Beau Vallon, Bel Air, Belombre, Cascade, English River, Glacis, Grande Anse Mahe, La Digue, Les Mamelles, Mont Buxton, Mont Fleuri, Plaisance, Pointe Larue, Port Glaud, Praslin, Roche Caiman, St Louis, Takamaka provinces",No,No,No,,9.1,Moment Magnitude,3.295,95.982,,2004.0,12.0,26.0,2004.0,12.0,26.0,4830.0,48395.0,,
2004-0659-THA,nat-geo-ear-tsu,Natural,Geophysical,Earthquake,Tsunami,THA,Thailand,South-eastern Asia,Asia,"Krabi, Phangnga, Phuket, Ranong, Satun, Trang provinces",Yes,No,No,,9.1,Moment Magnitude,3.295,95.982,,2004.0,12.0,26.0,2004.0,12.0,26.0,67007.0,1613174.0,,
2004-0669-DEU,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,DEU,Germany,Western Europe,Europe,"Waldkirch, Emmendingen towns (Freiburg district, Baden-Wuerttemberg Province)",No,No,No,,4.8,Moment Magnitude,48.115,8.077,,2004.0,12.0,5.0,2004.0,12.0,5.0,150.0,19358.0,,
2004-0670-SVN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,SVN,Slovenia,Southern Europe,Europe,"Kobarid, Bovec districts (Goriska Province)",No,No,No,,5.2,Moment Magnitude,46.296,13.641,,2004.0,7.0,12.0,2004.0,7.0,12.0,605.0,16132.0,,
2005-0092-IRN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,Asia,"Rooein Abad, Akbar, Asghar, Dehaafkan, Behabad, Sardkooyeh, Fathabad, Motaharabad, Eslam Abad, Arjomandieh, Baharestan villages (Zarand district, Kerman province)",No,No,No,1785.0,6.4,Moment Magnitude,30.754,56.816,,2005.0,2.0,22.0,2005.0,2.0,22.0,94766.0,124819.0,,
2005-0129-JPN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,JPN,Japan,Eastern Asia,Asia,Hukuoka province,No,No,No,,6.6,Moment Magnitude,33.807,130.131,,2005.0,3.0,20.0,2005.0,3.0,20.0,3535.0,624096.0,,
