DisNo.,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,ISO,Country,Subregion,Region,Location,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Affected,"Total Damage, Adjusted ('000 US$)",Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium"
2020-0034-TUR,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,Asia,Sivrice District (Elazig province); Malatya Provinces),No,No,No,,6.7,Moment Magnitude,38.39,44.367,39.081,2020.0,1.0,24.0,2020.0,1.0,24.0,70607.0,400286.0,,
2020-0088-VNM,nat-met-sto-ext,Natural,Meteorological,Storm,Extra-tropical storm,VNM,Viet Nam,South-eastern Asia,Asia,"Yen Bai, Ha Giang, Tuyen Quang, Lai Chau, Lao Cai, Cao Bang, Son La. provinces",No,No,No,,,Kph,20.691,105.183,,2020.0,3.0,2.0,2020.0,3.0,10.0,4652.0,1766.0,,
2020-0102-EGY,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,EGY,Egypt,Northern Africa,Africa,"Cairo, Giza, Monufia, Sharkeia, South Sinai, Red Sea, Beni Suef, Faiyum, Ismailia",No,No,Yes,,22124.19,Km2,29.021,30.754,,2020.0,3.0,11.0,2020.0,3.0,15.0,20400.0,89476.0,,
2020-0106-HRV,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,HRV,Croatia,Southern Europe,Europe,Zagreb,No,No,No,,5.4,Moment Magnitude,45.897,15.966,,2020.0,3.0,22.0,2020.0,3.0,22.0,78942.0,8005727.0,,
2020-0158-PRI,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,PRI,Puerto Rico,Latin America and the Caribbean,Americas,"Ponce, Peñuelas, Guayanilla provinces",No,No,No,,5.4,Moment Magnitude,17.937,-66.727,,2020.0,5.0,2.0,2020.0,5.0,2.0,150.0,176597.0,,
2020-0164-KEN,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),KEN,Kenya,Sub-Saharan Africa,Africa,"West Pokot, Elgeyo Marakwet, Kisumu, Homabay, Tana River, Garissa, Kilifi, Kirinyaga, Siaya, Kakamega, Bomet, Nairobi counties",No,No,No,,154389.9,Km2,1.163,36.593,,2020.0,4.0,18.0,2020.0,6.0,1.0,810655.0,11773.0,,
2020-0168-YEM,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,YEM,Yemen,Western Asia,Asia,"Aden, Lahj, Taiz, Ad Dali’, Abyan, Hadramawt governorates",No,Yes,Yes,,18949.28,Km2,13.259,44.437,,2020.0,4.0,15.0,2020.0,4.0,30.0,150030.0,11773.0,,
2020-0244-CHN,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,Asia,Qiaojia and Ludian (Yunnan province),No,No,No,,5.1,Moment Magnitude,27.296,103.281,,2020.0,5.0,18.0,2020.0,5.0,18.0,3324.0,20014.0,,
2020-0281-MEX,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,MEX,Mexico,Latin America and the Caribbean,Americas,South Oaxaca State (Mexico),No,No,Yes,,7.4,Moment Magnitude,15.916,-95.953,,2020.0,6.0,23.0,2020.0,6.0,23.0,24393.0,88298.0,,
2020-0283-UKR,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),UKR,Ukraine,Eastern Europe,Europe,"Verkhovyna District (Ivano-Frankivsk); Vyzhnytskyi District (Chernivtsi); Zakarpattya, Lviv, Temopil ",No,Yes,No,,33791.16,Km2,49.315,30.061,,2020.0,6.0,22.0,2020.0,6.0,29.0,55000.0,181143.0,,
2020-0296-JPN,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),JPN,Japan,Eastern Asia,Asia,"Kumamoto Prefecture, Yatsushiro, and Hitoyoshi cities (Kyushu Region)",No,No,No,,28547.82,Km2,32.666,131.039,Kuma River,2020.0,6.0,29.0,2020.0,7.0,10.0,250114.0,6828414.0,,
2020-0370-PHL,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,PHL,Philippines,South-eastern Asia,Asia,Bicol Region,No,No,No,,6.6,Moment Magnitude,12.021,124.123,,2020.0,8.0,18.0,2020.0,8.0,18.0,4980.0,2943.0,,
2020-0466-TUR,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,TUR,Türkiye,Western Asia,Asia,"Izmir Bornova, Bayrakli and Karsiyaka",No,No,No,,7.0,Moment Magnitude,37.913,26.779,,2020.0,10.0,30.0,2020.0,10.0,30.0,6034.0,529791.0,,
